,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id,data_inicio
135,/g/11bxf50jv9,DJ Tavares,Y:dL35HmDXaYM,2019-01-04
136,/g/11c2l1n05t,Naiara Azevedo,Y:oi0Rn-iJWUg,2019-01-04
137,/g/11c2pjlbrf,Mano Walter,Y:t14td_Q3ymQ,2019-01-04
138,/g/11byzf3gtr,BLACKPINK,Y:IWz0_plI7pM,2019-01-04
0,/g/11h0d3dnyr,Gabriel Diniz,Y:AgWUtFtSviE,2019-01-11
1,/g/11c602sm4t,Zé Neto & Cristiano,Y:68DzEwBC2Cw,2019-01-11
2,/g/11c54ch2hn,Márcia Fellipe,Y:j47F_UFQHm0,2019-01-11
3,,Jerry Smith,Y:j47F_UFQHm0,2019-01-11
4,/g/11b6_sq0s2,Mc Livinho,Y:lwp2e0tFtZM,2019-01-11
5,/g/11b60z06t1,DENNIS,Y:sSoVIcYmkPY,2019-01-11
6,/g/11c2pmz334,MC Kevinho,Y:sSoVIcYmkPY,2019-01-11
7,/g/11g6k0gmj8,Felipe Araújo,Y:VXqoVg7ehsc,2019-01-11
8,/g/11f4v4x7mq,Ferrugem,Y:VXqoVg7ehsc,2019-01-11
9,,Pineapple StormTV,Y:nqbzCLL6LGs,2019-01-11
10,,MC Cabelinho,Y:nqbzCLL6LGs,2019-01-11
11,,Mode$Tia,Y:nqbzCLL6LGs,2019-01-11
12,/g/11f126h_vb,Bob do Contra,Y:nqbzCLL6LGs,2019-01-11
13,/g/11gff6wktm,Azzy,Y:nqbzCLL6LGs,2019-01-11
14,/g/1yglpxkk0,Filipe Ret,Y:nqbzCLL6LGs,2019-01-11
15,,Dudu,Y:nqbzCLL6LGs,2019-01-11
16,/g/11c31yv9zh,Xamã,Y:nqbzCLL6LGs,2019-01-11
17,/g/11bv2ph0yr,Orochi,Y:nqbzCLL6LGs,2019-01-11
18,/g/11f4q3vd8y,Maquiny,Y:nqbzCLL6LGs,2019-01-11
19,/g/11g0mh8knm,Enzo Rabelo,Y:P82cZhiHyVw,2019-01-11
20,/m/0j9m6s7,Gusttavo Lima,Y:mBmEWavFk1I,2019-01-11
21,/g/11f9w6dy53,MC L da Vinte,Y:KjM62Bvp744,2019-01-11
22,/g/11f146x8gz,Mc Gury,Y:KjM62Bvp744,2019-01-11
23,/g/11c2pmz334,MC Kevinho,Y:BmJNxhdwzx8,2019-01-11
24,/g/11c2psj56j,MC Kekel,Y:BmJNxhdwzx8,2019-01-11
25,/g/11cnnwp26d,Marília Mendonça,Y:byDnHe9VQYA,2019-01-11
26,/g/11c1_gkggw,Simone & Simaria,Y:YxLdv8C4avk,2019-01-11
27,/m/010wj70v,Ludmilla,Y:YxLdv8C4avk,2019-01-11
28,/m/0gh91m8,Luan Santana,Y:kfOIKPq4YA8,2019-01-11
29,/m/0j9m6s7,Gusttavo Lima,Y:HvWN2Xy5eNc,2019-01-11
30,/g/11c602sm4t,Zé Neto & Cristiano,Y:Qk4JH4Vc8Qk,2019-01-11
31,/g/11cnnwp26d,Marília Mendonça,Y:-6fPcSaUvJ4,2019-01-11
32,/m/0nhb1jz,Humberto & Ronaldo,Y:ixbdH09WSgw,2019-01-11
33,/m/0wtnl61,Henrique & Juliano,Y:IqYmZPfE9C8,2019-01-11
