,id,name,viewCount,encryptedVideoId,artists,isVisible,atvExternalVideoId,thumbnail_thumbnails,chartEntryMetadata_currentPosition,chartEntryMetadata_previousPosition,chartEntryMetadata_percentViewsChange,chartEntryMetadata_periodsOnChart,releaseDate_year,releaseDate_month,releaseDate_day
35,Y:Flbb7kQnN9I,Sujeito (Ao Vivo),5220991,WWVKtHukkBo,"[{'kgMid': '/m/0j9m6s7', 'name': 'Gusttavo Lima'}]",True,Ljw_gScEXn4,"[{'url': 'https://i.ytimg.com/vi/WWVKtHukkBo/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/WWVKtHukkBo/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/WWVKtHukkBo/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/WWVKtHukkBo/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/WWVKtHukkBo/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",36,42.0,0.3297609,8,2018,10,26
36,Y:ReO6ouO_QIg,Estranho,5064393,2WsIm6pNlI4,"[{'kgMid': '/g/11cnnwp26d', 'name': 'Marília Mendonça'}]",True,5IexrpphXkw,"[{'url': 'https://i.ytimg.com/vi/2WsIm6pNlI4/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/2WsIm6pNlI4/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/2WsIm6pNlI4/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/2WsIm6pNlI4/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/2WsIm6pNlI4/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",37,45.0,0.34467143,43,2018,2,23
37,Y:KDEPqwQhYNY,Sapequinha,4910494,eeuyqLI4iQE,"[{'kgMid': '/g/11byhkk3nl', 'name': 'Lexa'}, {'kgMid': '/g/11g9fl0gh5', 'name': 'MC Lan'}]",True,aIFkHwU5Zjw,"[{'url': 'https://i.ytimg.com/vi/eeuyqLI4iQE/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/eeuyqLI4iQE/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/eeuyqLI4iQE/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/eeuyqLI4iQE/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/eeuyqLI4iQE/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",38,28.0,0.006464294,23,2018,8,2
38,Y:SuG2n1PbswA,Ouvi Dizer,4877047,vaXCSYva2FM,"[{'kgMid': '/g/11gr6vzdh1', 'name': 'Melim'}]",True,1SOxvbPPutk,"[{'url': 'https://i.ytimg.com/vi/vaXCSYva2FM/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/vaXCSYva2FM/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/vaXCSYva2FM/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/vaXCSYva2FM/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/vaXCSYva2FM/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",39,41.0,0.23485175,18,2017,12,8
39,Y:rmxrwuV2EDk,Amor Falso (feat. MC Kevinho),4876310,fOrPSLkuI54,"[{'kgMid': '/m/0124x5pq', 'name': 'Wesley Safadão'}, {'kgMid': '/g/11h0zkvq71', 'name': 'Aldair Playboy'}]",True,4rdIIB30rt0,"[{'url': 'https://i.ytimg.com/vi/fOrPSLkuI54/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/fOrPSLkuI54/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/fOrPSLkuI54/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/fOrPSLkuI54/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/fOrPSLkuI54/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",40,39.0,0.12196885,39,2018,5,30
40,Y:eoY2OkHztog,Girls Like You (feat. Cardi B),4876104,aJOTlE1K90k,"[{'kgMid': '/m/02k5sc', 'name': 'Maroon 5'}]",True,XDbW5bXrm7I,"[{'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",41,29.0,0.008369537,31,2017,11,3
41,Y:ze_TWvjSzkI,Vai Voltar Chorando,4847049,m-ULSz2gAwQ,"[{'kgMid': '/g/11g9l_xksy', 'name': 'MC Don Juan'}]",True,_FVeBbq4crA,"[{'url': 'https://i.ytimg.com/vi/m-ULSz2gAwQ/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/m-ULSz2gAwQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/m-ULSz2gAwQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/m-ULSz2gAwQ/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/m-ULSz2gAwQ/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",42,33.0,0.045840222,4,2018,12,23
42,Y:37-bazO9koQ,Fuleragem,4762773,4N2iMmHcHys,"[{'kgMid': '/g/11h_cx894k', 'name': 'MC WM'}]",True,a1s6YOczM3c,"[{'url': 'https://i.ytimg.com/vi/4N2iMmHcHys/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/4N2iMmHcHys/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/4N2iMmHcHys/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/4N2iMmHcHys/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/4N2iMmHcHys/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",43,38.0,0.08852908,48,2018,2,21
43,Y:Mtd_8YW69gI,Vai Vai Perereca,4740364,Mp_g9qrNZsA,[{'name': 'MC Levin'}],True,zfmLKp1TFeo,"[{'url': 'https://i.ytimg.com/vi/Mp_g9qrNZsA/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/Mp_g9qrNZsA/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/Mp_g9qrNZsA/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/Mp_g9qrNZsA/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/Mp_g9qrNZsA/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",44,31.0,0.016372634,13,2018,11,14
44,Y:7jTskrMCYY4,Infarto,4423423,BJfnGsvOmWM,"[{'kgMid': '/g/11h9vqkc4h', 'name': 'Diego & Victor Hugo'}]",True,rxqfLAaBai8,"[{'url': 'https://i.ytimg.com/vi/BJfnGsvOmWM/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/BJfnGsvOmWM/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/BJfnGsvOmWM/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/BJfnGsvOmWM/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/BJfnGsvOmWM/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",45,49.0,0.24007635,10,2018,11,3
